index,Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem,named_labels
8274,улица Чернышевского,19 корп. 1,2021-06-07 22:49:39.696,Школа в Финской долине,18274,"['школа', 'финский', 'долина']",Playground
8275,проспект Чебоксарский,25 корп. 1,2021-06-08 23:35:10.053,Магазин Фикспрайс,18275,"['магазин', 'фикспрайс']",General improvement
8276,улица Болгарстроя,9/11,2021-06-10 16:34:16.083,В поликлинике Альгешево нет узких специалистов. Обновить детскую площадку. Поставить светофор на переходе.,18276,"['поликлиника', 'альгешево', 'узкий', 'специалист', 'обновлять', 'детский', 'площадка', 'поставлять', 'светофор', 'переход']",General improvement
8277,улица Винокурова,57,2021-06-08 22:07:07.461,"Закончить детскую площадку. Протекает стояк (с крыши), нужен ремонт.",18277,"['заканчивать', 'детский', 'площадка', 'протекать', 'стояк', ' (', 'крыша', '), ', 'нужный', 'ремонт']",Playground
8278,улица Эльгера,14,2021-06-06 22:01:52.954,Ремонт детской площадки. ,18278,"['ремонт', 'детский', 'площадка']",Playground
8279,улица Чапаева,4,2021-06-08 20:02:06.353,"Футбольную площадку, качели и карусели.",18279,"['футбольный', 'площадка', 'качели', 'карусель']",Playground
8280,улица Комсомольская,15,2021-06-14 21:09:39.552,Поменять отмостки вокруг дома,18280,"['поменять', 'отмостка', 'вокруг', 'дом']",Need for a road
8281,улица Мичмана Павлова,24,2021-06-09 10:02:50.565,Ужасные подъезды с 1 по 3 . подъездная дорога не видела ремонт 100 лет,18281,"['ужасный', 'подъезд', '1', '3', 'подъездной', 'дорога', 'видеть', 'ремонт', '100', 'год']",Major overhaul
8282,улица Мичмана Павлова,24,2021-06-09 10:13:34.268,"Детская площадка в ужасном состоянии. Везде мусор, детям постоянно натыкаются на них.",18282,"['детский', 'площадка', 'ужасный', 'состояние', 'везде', 'мусор', 'ребенок', 'постоянно', 'натыкаться']",General improvement
8283,бульвар А.Миттова,5 корп. 1,2021-06-12 06:12:15.729,Почините пожалуйста дороги во дворах вдоль гаражей (от кафе Лаваш до дома 5к1),18283,"['починять', 'пожалуйста', 'дорога', 'двор', 'вдоль', 'гараж', ' (', 'кафе', 'лаваш', 'дом', '5к1']",General improvement
8284,улица Ашмарина,42 корп. 1,2021-06-05 16:26:08.198,Парковочные места,18284,"['парковочный', 'место']",Need for a road
8285,проспект 9-й Пятилетки,28 корп. 39,2021-06-12 21:16:37.063,Убрать ограждения и благоустроить территорию возле дома 22/2,18285,"['убирать', 'ограждение', 'благоустраивать', 'территория', 'возле', 'дом', '22', '/', '2']",General improvement
8286,улица Красина,2,2021-06-05 23:53:52.069,Сделать ремонт в подъезде №1 по адресу ул. Красина 2.,18286,"['сделать', 'ремонт', 'подъезд', '№', '1', 'адрес', 'ул', 'красин', '2']",General improvement
8287,улица Красина,2,2021-06-05 23:38:14.209,Обустройство детской площадки по адресу ул. Красина 2.,18287,"['обустройство', 'детский', 'площадка', 'адрес', 'ул', 'красин', '2']",General improvement
8288,улица Чернышевского,27,2021-06-07 23:19:27.241,"Не хватает
- бассейна
- банкоматов
- поликлиники",18288,"['хватать', '- ', 'бассейн', '- ', 'банкомат', '- ', 'поликлиника']",General improvement
8289,улица Розы Люксембург,8 корп. 1,2021-06-06 12:26:44.629,"Поставить на площадку тренажеры, обустроить детскую площадку. Нужны дополнительные парковочные места.",18289,"['поставлять', 'площадка', 'тренажер', 'обустраивать', 'детский', 'площадка', 'нужный', 'дополнительный', 'парковочный', 'место']",General improvement
8290,проспект 9-й Пятилетки,30,2021-06-12 08:39:38.582,"Повышение пенсии, индексация пенсии работающим пенсионерам",18290,"['повышение', 'пенсия', 'индексация', 'пенсия', 'работать', 'пенсионер']",General improvement
8291,улица Энгельса,1 корп. 1,2021-06-09 11:59:36.844,убрать котлован,18291,"['убирать', 'котлован']",General improvement
8292,улица Ленинского Комсомола,40,2021-06-13 23:35:48.121,"За домом у паутинки (детская качелька) просим убрать штырь, торчащий из земли (он прикрыт песком) - опасно для детей",18292,"['дом', 'паутинка', ' (', 'детский', 'качелька', ') ', 'просить', 'убирать', 'штырь', 'торчать', 'земля', ' (', 'прикрывать', 'песок', ') - ', 'опасный', 'ребенок']",General improvement
8293,проспект Мира,23А,2021-06-09 10:41:25.999,обновить детскую площадку,18293,"['обновлять', 'детский', 'площадка']",Playground
8294,проспект Ленина,54,2021-06-13 17:37:10.827,"отремонтировать подьезд

нет козырька над подьездом. в остальных домах есть.

отремонтировать дороги.",18294,"['отремонтировать', 'подьезд', 'козырек', 'подьезд', 'остальной', 'дом', 'отремонтировать', 'дорога']",Need for a road
8295,улица Красина,14,2021-06-06 00:17:27.625,увеличение парковочных мест.,18295,"['увеличение', 'парковочный', 'место']",General improvement
8296,проспект Ленина,52,2021-06-13 15:52:49.578,"возле дома есть стоянка, стваят только служебные . для своих у них мест нет
благоуствойство  сквер Чапаево",18296,"['возле', 'дом', 'стоянка', 'стваят', 'служебный', 'свой', 'место', 'благоуствойство', 'сквер', 'чапаево']",General improvement
8297,улица Чернышевского,27,2021-06-07 23:02:06.739,Нехватает банкомата,18297,"['нехватать', 'банкомат']",General improvement
8298,улица Чернышевского,27,2021-06-08 09:34:41.262,"Не хватает в ЮЗР парков, аллеи, негде гулять с детьми, школ, хороших детских спортивных площадок",18298,"['хватать', 'юзра', 'парк', 'аллея', 'негде', 'гулять', 'ребенок', 'школа', 'хороший', 'детский', 'спортивный', 'площадка']",General improvement
8299,улица Пустынькассинская,7,2021-06-07 16:16:33.459,"Сделать канализацию по Пустынькасинской улице, по улице Садовой, Липовой аллее и т.д. Пожелание всех жителей ",18299,"['сделать', 'канализация', 'пустынькасинский', 'улица', 'улица', 'садовый', 'липовый', 'аллея', 'т', 'д', 'пожелание', 'весь', 'житель']",General improvement
8300,улица Чапаева,14,2021-06-08 17:58:33.899,"Капитальный ремонт подьездов, капитальный ремонт балконов.",18300,"['капитальный', 'ремонт', 'подьезд', 'капитальный', 'ремонт', 'балкон']",Major overhaul
8301,улица Энтузиастов,31,2021-06-07 12:33:43.642,Отремонтировать асфальт во дворе и тротуары,18301,"['отремонтировать', 'асфальт', 'двор', 'тротуар']",Need for a road
8302,улица Советская,36,2021-06-14 19:51:55.998,"Проследить за добросовестной работой почтальонов, не приходят газеты ",18302,"['прослеживать', 'добросовестный', 'работа', 'почтальон', 'приходить', 'газета']",Need for a road
8303,аллея Липовая,42,2021-06-07 16:14:02.990,"Сделать канализацию по улице Липовой, Садовой. Пожелание от всех жителей",18303,"['сделать', 'канализация', 'улица', 'липовый', 'садовый', 'пожелание', 'весь', 'житель']",General improvement
8304,улица Винокурова,43,2021-06-05 21:46:36.442,"Вырубить часть деревьев, поставить детскую площадку",18304,"['вырубать', 'часть', 'дерево', 'поставлять', 'детский', 'площадка']",General improvement
8305,проспект Мира,64,2021-06-08 16:50:11.219,Благоустройство дома и территории.,18305,"['благоустройство', 'дом', 'территория']",Need for a road
8306,улица Петра Ермолаева,3 корп. 1,2021-06-12 19:21:09.464,"Просим привести в норму лестницу от остановки института образования в сторону ""Волжского-3"" ступеньки, перила. Очень плохо чистят зимой.",18306,"['просить', 'приводить', 'норма', 'лестница', 'остановка', 'институт', 'образование', 'сторона', ' ""', 'волжский', '-', '3', '"" ', 'ступенька', 'перила', 'очень', 'плохо', 'чистить', 'зима']",General improvement
8307,улица Эльгера,13,2021-06-04 16:08:47.168,"Бесплатные медикаменты, лечение.",18307,"['бесплатный', 'медикамент', 'лечение']",Major overhaul
8308,улица Ивана Франко,20,2021-06-14 16:54:12.763,Прошу отремонтировать дорогу во дворе дома 20 по ул.Ивана Франко,18308,"['просить', 'отремонтировать', 'дорога', 'двор', 'дом', '20', 'ул', 'иван', 'франко']",Need for a road
8309,улица Терешковой,6А,2021-06-09 11:29:17.801,"Вода у подъезда, 
Полы поменять в коридоре.
Дезинфекция дома.
Заменить проводку",18309,"['вода', 'подъезд', ', \n', 'пол', 'поменять', 'коридор', 'дезинфекция', 'дома', 'заменять', 'проводка']",Need for a road
8310,проспект Ленина,49,2021-06-07 21:57:25.562,"освещение во дворах в вечернее время
обмновить асфальт во дворе",18310,"['освещение', 'двор', 'вечерний', 'время', 'обмновить', 'асфальт', 'двор']",Need for a road
8311,бульвар А.Миттова,11,2021-06-11 14:03:10.272,Детская площадка,18311,"['детский', 'площадка']",Playground
8312,улица Советская,73,2021-06-11 23:34:37.820,Отремонтировать дорогу по Первомайской,18312,"['отремонтировать', 'дорога', 'первомайский']",Need for a road
8313,улица Советская,73,2021-06-12 10:08:46.223,Отремонтировать дорогу на первомайской,18313,"['отремонтировать', 'дорога', 'первомайский']",Need for a road
8314,улица Советская,73,2021-06-11 23:29:37.514,Когда проходим между (около) магазина - мусор. Урн нет! Именно мусор около магазинов,18314,"['проходить', ' (', 'около', ') ', 'магазин', ' - ', 'мусор', 'урна', '! ', 'именно', 'мусор', 'около', 'магазин']",Need for a road
8315,улица Якова Ухсая,3,2021-06-06 18:50:56.908,Отремонтировать дорогу по улице.,18315,"['отремонтировать', 'дорога', 'улица']",Need for a road
8316,улица П.В.Дементьева,3 корп. 2,2021-06-08 21:57:44.125,"улучшить дороги и дет.площадки, организовать парк, парк для молодежи,школу",18316,"['улучшать', 'дорога', 'дет', 'площадка', 'организовывать', 'парк', 'парк', 'молодежь', 'школа']",Need for a road
8317,бульвар Зеленый,7,2021-06-05 22:07:30.718,Поставить бельевую сушилку,18317,"['поставлять', 'бельевой', 'сушилка']",General improvement
8318,улица Хузангая,27,2021-06-12 19:28:05.282,Отремонтировать дет. площадку,18318,"['отремонтировать', 'дет', 'площадка']",Need for a road
8319,улица Николая Гастелло,1/72,2021-06-08 15:41:59.633,На детской площадке нет песочницы,18319,"['детский', 'площадка', 'песочница']",Playground
8320,улица Энгельса,5,2021-06-07 17:47:01.089,"просим вас закрыть учереждение по ул.Энгельса 5 ( продажа эл сигареты) 
и установить лежачего полицейского при выезде к этому дому",18320,"['просить', 'закрывать', 'учереждение', 'ул', 'энгельс', '5', ' ( ', 'продажа', 'эл', 'сигарета', ') \n', 'устанавливать', 'лежачий', 'полицейский', 'выезд', 'дом']",General improvement
8321,улица Калинина,101 корп. 1,2021-06-04 20:21:36.426,"Детская площадка во дворе
Парковка",18321,"['детский', 'площадка', 'двор', 'парковка']",Parking
8322,улица П.В.Дементьева,15 корп. 1,2021-06-09 15:00:52.592,школа,18322,['школа'],school
8323,проспект Мира,11,2021-06-12 18:33:24.609,"Параллельно проспекту Мира за территорией д.с №96 ,вдоль территории СОШ №19 Сош№36 от мкд №11 до мкд №23 пр. Мира проходит внутриквартальный проезд, где автомашины не снижают скрость .этот проезд одновременно является основной дорогой для школьников из за отсутствия тротуара .Необходимо установить конструкции, снижающие скорость автомашин.",18323,"['параллельно', 'проспект', 'мир', 'территория', 'д', '№', '96', ' ,', 'вдоль', 'территория', 'сош', '№', '19', 'сош', '№', '36', 'мкд', '№', '11', 'мкд', '№', '23', 'пр', 'мир', 'проходить', 'внутриквартальный', 'проезд', 'автомашина', 'снижать', 'скрость', 'проезд', 'одновременно', 'являться', 'основной', 'дорога', 'школьник', 'отсутствие', 'тротуар', 'необходимо', 'устанавливать', 'конструкция', 'снижать', 'скорость', 'автомашина']",Need for a road
8324,улица Олега Кошевого,9,2021-06-04 19:58:03.407,парк для отдыха,18324,"['парк', 'отдых']",General improvement
8325,улица Заводская,18,2021-06-09 10:11:46.326,Обустроить детскую площадку и место для парковки,18325,"['обустраивать', 'детский', 'площадка', 'место', 'парковка']",General improvement
8326,улица Короленко,16,2021-06-06 00:17:59.386,"тротуар между Короленко  д.16 и д.22
дорогу вдоль гаражей
",18326,"['тротуар', 'короленко', 'д', '16', 'д', '22', 'дорога', 'вдоль', 'гараж']",Need for a road
8327,улица Университетская,8,2021-06-12 21:34:21.197,Большая детская площадка с городками. ,18327,"['большой', 'детский', 'площадка', 'городок']",Need for a road
8328,улица Гагарина Ю.,30,2021-06-08 15:36:16.490,Постелить новый асфальт во дворе,18328,"['постилать', 'новый', 'асфальт', 'двор']",Need for a road
8329,улица Эльгера,16,2021-06-06 18:20:58.908,Отремонтировать дорожку пешеходную от ресторана Московский до 54 школы. ,18329,"['отремонтировать', 'дорожка', 'пешеходный', 'ресторан', 'московский', '54', 'школа']",Need for a road
8330,улица Энтузиастов,35,2021-06-11 12:54:06.729,"Детскую площадку по адресу: Энтузиастов, 35",18330,"['детский', 'площадка', 'адрес', ': ', 'энтузиаст', '35']",Playground
8331,улица Федора Гладкова,24,2021-06-14 23:11:07.933,к лакреевскому лесу нет дороги от гладкова,18331,"['лакреевский', 'лес', 'дорога', 'гладков']",General improvement
8332,улица Короленко,6,2021-06-05 22:57:45.766,видеокамеру,18332,['видеокамера'],General improvement
8333,улица Космонавта Николаева А.Г.,46 корп. 1,2021-06-07 12:55:37.500,"Детская площадка
Асфальтированная дорога
Капитальный ремонт дома",18333,"['детский', 'площадка', 'асфальтировать', 'дорога', 'капитальный', 'ремонт', 'дом']",General improvement
8334,улица Университетская,7,2021-06-07 11:17:30.080,Ремонт в подъезде. ,18334,"['ремонт', 'подъезд']",Major overhaul
8335,улица Советская,45,2021-06-08 21:28:13.421,Новый сады поближе к дому и школу тоже ,18335,"['новый', 'сад', 'близко', 'дом', 'школа']",Need for a road
8336,бульвар Юности,9,2021-06-08 19:16:09.195,"Ремонт, благоустройство дворовых территорий ",18336,"['ремонт', 'благоустройство', 'дворовый', 'территория']",Need for a road
8337,улица Родниковая,4,2021-06-06 14:53:07.803,"Сделать дорогу от остановки до магазина ""Родничок"".",18337,"['сделать', 'дорога', 'остановка', 'магазин', ' ""', 'родничок', '""']",Need for a road
8338,улица Пролетарская,5,2021-06-10 02:45:19.605,"Обустроить детскую площадку, озеленить двор, асфальтировать дорогу",18338,"['обустраивать', 'детский', 'площадка', 'озеленять', 'двор', 'асфальтировать', 'дорога']",General improvement
8339,проспект Мира,96,2021-06-08 18:32:15.225,Паковочные места во дворе.,18339,"['паковочный', 'место', 'двор']",Need for a road
8340,бульвар Юности,4,2021-06-09 09:14:11.210,Нужна детская площадка . Площадка ( автостоянка для автомобилей),18340,"['нужный', 'детский', 'площадка', 'площадка', ' ( ', 'автостоянка', 'автомобиль']",General improvement
8341,улица Терешковой,14,2021-06-10 14:07:33.274,"2 бетонные клумбы убрать с последнего полисадника, очистить территорию у тополей, отремонтировать качели!",18341,"['2', 'бетонный', 'клумба', 'убирать', 'последний', 'полисадник', 'очищать', 'территория', 'тополь', 'отремонтировать', 'качели', '!']",General improvement
8342,бульвар Юности,10,2021-06-08 18:56:47.246,Сделать детскую площадку. Ремонт в Подъездах ,18342,"['сделать', 'детский', 'площадка', 'ремонт', 'подъезд']",Major overhaul
8343,улица Алексея Талвира,4,2021-06-06 16:08:54.450,Необходима новая детская площадка и парковка вдоль дома № 6 по улице Талвира ,18343,"['необходимый', 'новый', 'детский', 'площадка', 'парковка', 'вдоль', 'дом', '№', '6', 'улица', 'талвира']",General improvement
8344,улица Маршака,8 корп. 1,2021-06-08 19:27:32.146,"Было бы неплохо поблизости ул. Маршака разрубить, обустроить парк.",18344,"['неплохо', 'поблизости', 'ул', 'маршак', 'разрубать', 'обустраивать', 'парк']",General improvement
8345,улица П.В.Дементьева,18 корп. 3,2021-06-08 09:48:31.413,парковку расширить,18345,"['парковка', 'расширять']",Parking
8346,улица Мичмана Павлова,35,2021-06-14 16:25:42.450,"Вход подъезд №3 обновить не ремонтировался с 89 года. М.Павлова 35, детская площадка",18346,"['вход', 'подъезд', '№', '3', 'обновлять', 'ремонтироваться', '89', 'год', 'м', 'павлова', '35', 'детский', 'площадка']",Need for a road
8347,улица Хевешская,31,2021-06-14 23:23:43.751,закрыть магазин красное белое или сократить время до 21:00,18347,"['закрывать', 'магазин', 'красный', 'белый', 'сокращать', 'время', '21', '00']",General improvement
8348,улица Новогородская,38,2021-06-07 23:46:09.889,Снизить пенсионный возраст и рассмотреть вопрос о включении в льготный стаж службу в армии,18348,"['снижать', 'пенсионный', 'возраст', 'рассматривать', 'вопрос', 'включение', 'льготный', 'стаж', 'служба', 'армия']",General improvement
8349,улица Эльгера,8,2021-06-09 13:27:13.516,Детская площадка.,18349,"['детский', 'площадка']",Playground
8350,улица Ленинского Комсомола,24 корп. 1,2021-06-09 11:41:04.580,Детская площадка,18350,"['детский', 'площадка']",Playground
8351,улица Гражданская,109,2021-06-11 11:52:10.905,Установить банкомат Сбербанк на ост.М.Залка,18351,"['устанавливать', 'банкомат', 'сбербанк', 'ост', 'м', 'залка']",General improvement
8352,проспект Мира,36,2021-06-06 19:04:22.427,"Увеличение крыльца
Ремонт ступенек в подъезде
Асфальтирование дорог",18352,"['увеличение', 'крыльцо', 'ремонт', 'ступенька', 'подъезд', 'асфальтирование', 'дорога']",General improvement
8353,улица Энгельса,5,2021-06-07 16:51:55.467,"Просим прикрыть торговое учереждение по продаже Электр-ых сигареты по  ул.Энгельса 5, и установить полицейского , привьезде к дому",18353,"['просить', 'прикрывать', 'торговый', 'учереждение', 'продажа', 'электр', '-', 'ых', 'сигарета', 'ул', 'энгельс', '5', 'устанавливать', 'полицейский', ' , ', 'привьезде', 'дом']",General improvement
8354,улица 1-ая Путепроводная,60,2021-06-09 01:35:34.351,"Сделать дорогу, убрать цыган",18354,"['сделать', 'дорога', 'убирать', 'цыган']",General improvement
8355,проспект Тракторостроителей,54,2021-06-06 16:05:55.933,"отремонтировать дорогу, увеличить детскую площадку.",18355,"['отремонтировать', 'дорога', 'увеличивать', 'детский', 'площадка']",Need for a road
8356,улица Ахазова,3,2021-06-06 21:56:19.966,Ремонт в подъезде,18356,"['ремонт', 'подъезд']",Major overhaul
8357,улица Гузовского,24,2021-06-05 11:36:04.163,По адресу ул. Гузовского 24 нужны отмостки под балконы для всего дома.,18357,"['адрес', 'ул', 'гузовский', '24', 'нужный', 'отмостка', 'балкон', 'весь', 'дом']",General improvement
8358,улица Социалистическая,13 А,2021-06-12 13:31:44.407,"Сделать капремонт в подъезде, нет детской площадки, построить",18358,"['сделать', 'капремонт', 'подъезд', 'детский', 'площадка', 'построить']",General improvement
8359,улица Советская,75,2021-06-08 23:15:08.615,Пустой,18359,['пустой'],General improvement
8360,улица Мичмана Павлова,30,2021-06-09 10:33:21.534,Подъездная дорога возле дома по диагонали. Привезти землю для клумб. И проваливаются канализационные люки,18360,"['подъездной', 'дорога', 'возле', 'дом', 'диагональ', 'привозить', 'земля', 'клумба', 'проваливаться', 'канализационный', 'люк']",General improvement
8361,проспект Тракторостроителей,71,2021-06-08 21:11:24.258,Сделать дорогу между 71 домом и 53 школой,18361,"['сделать', 'дорога', '71', 'дом', '53', 'школа']",Need for a road
8362,улица 2-я Привосточная,111А,2021-06-09 00:43:20.101,Тротуар вдоль трассы,18362,"['тротуар', 'вдоль', 'трасса']",General improvement
8363,проспект Ленина,54,2021-06-13 16:29:48.388,"отремонтировать подьезд
отремонтировать дорогу возле дома ( после ремонта не отремонтировалась)",18363,"['отремонтировать', 'подьезд', 'отремонтировать', 'дорога', 'возле', 'дом', ' ( ', 'ремонт', 'отремонтироваться']",Need for a road
8364,улица Эльменя,34,2021-06-04 22:48:55.736,школу ,18364,['школа'],school
8365,улица Академика В.Н.Челомея,1,2021-06-08 22:51:28.833,"школа, магазин, аптека, дет.площадка",18365,"['школа', 'магазин', 'аптека', 'дет', 'площадка']",Playground
8366,улица Цветочная,17,2021-06-06 23:06:43.637,"Привести в порядок улицу Цветочная,Клубная. Дорожное покрытие.",18366,"['приводить', 'порядок', 'улица', 'цветочный', 'клубный', 'дорожный', 'покрытие']",General improvement
8367,проспект Ленина,51 корп. 1,2021-06-08 14:50:04.776,"просим сделать детскую площадку , огородить ее от машин, поставить маф",18367,"['просить', 'сделать', 'детский', 'площадка', ' , ', 'огораживать', 'машина', 'поставлять', 'маф']",General improvement
8368,улица Алексея Талвира,12,2021-06-04 16:00:26.892,Благоустроить пешеходную дорогу по адресу ул. Алексея Талвира дом 12.,18368,"['благоустраивать', 'пешеходный', 'дорога', 'адрес', 'ул', 'алексей', 'талвира', 'дом', '12']",General improvement
8369,проспект Чебоксарский,25 корп. 1,2021-06-08 23:50:07.380,Не хватает детских магазинов и для всей семьи,18369,"['хватать', 'детский', 'магазин', 'весь', 'семья']",General improvement
8370,улица Воинов интернационалистов,7,2021-06-12 13:08:05.469,Ремонт в подъезде. Освещение в подъезде.,18370,"['ремонт', 'подъезд', 'освещение', 'подъезд']",Major overhaul
8371,проспект Московский,23 корп. 2,2021-06-04 19:59:36.130,Прошу помощи в восстановлении документов участника войны.,18371,"['просить', 'помощь', 'восстановление', 'документ', 'участник', 'война']",Need for a road
8372,улица Лукина,3,2021-06-14 17:31:28.240,Парковочных мест вечно не хватает. Дороги оставляют желать лучшего ,18372,"['парковочный', 'место', 'вечно', 'хватать', 'дорога', 'оставлять', 'желать', 'хороший']",Need for a road
8373,улица Ильи Тукташа,5,2021-06-14 08:23:50.198,"Школа №6 к которой помимо старых районов города, относиться теперь еще и Благовещенский мкр. переполнена. Прошу заняться вопросами скорейшей постройки новый школы в микрорайоне. Дети в школе №6 учатся в 2 смены, это прошлый век.",18373,"['школа', '№', '6', 'который', 'помимо', 'старый', 'район', 'город', 'относиться', 'благовещенский', 'мкр', 'переполнять', 'просить', 'заниматься', 'вопрос', 'скорый', 'постройка', 'новый', 'школа', 'микрорайон', 'ребенок', 'школа', '№', '6', 'учиться', '2', 'смена', 'это', 'прошлый', 'век']",Need for a road
8374,проспект Мира,33,2021-06-08 21:17:52.470,улучшить детскую площадку,18374,"['улучшать', 'детский', 'площадка']",Playground
8375,улица Университетская,28,2021-06-12 21:27:08.859,Разобраться с парковочными местами. ,18375,"['разбираться', 'парковочный', 'место']",General improvement
8376,улица Университетская,28,2021-06-14 05:29:31.404,"1. Убрать вентиляционные трубы от подземных гаражей. 
2. Нужна площадка для занятия спортом ",18376,"['1', 'убирать', 'вентиляционный', 'труба', 'подземный', 'гараж', ' \n', '2', 'нужный', 'площадка', 'занятие', 'спорт']",General improvement
8377,улица Советская,50А,2021-06-05 22:06:44.804,"Тротуар, магазина нет, остановки тоже",18377,"['тротуар', 'магазин', 'остановка']",General improvement
8378,улица Молодежная,19,2021-06-07 19:55:20.891,Нужно сделать ремонт дороги до больницы. Добавить лавочки у 2-20 подъезда!!! Нужно сделать ремонт в подъезде ,18378,"['нужно', 'сделать', 'ремонт', 'дорога', 'больница', 'добавлять', 'лавочка', '2', '-', '20', 'подъезд', '!!! ', 'нужно', 'сделать', 'ремонт', 'подъезд']",Major overhaul
8379,улица Ленинского Комсомола,25,2021-06-09 12:36:28.595,Обеспечить соблюдение общественного порядка,18379,"['обеспечивать', 'соблюдение', 'общественный', 'порядок']",General improvement
8380,улица Фруктовая,8,2021-06-08 12:32:29.294,Содержание дороги оставляет желать лучшего,18380,"['содержание', 'дорога', 'оставлять', 'желать', 'хороший']",Need for a road
8381,улица Пролетарская,5,2021-06-10 02:37:09.220,"Детскую площадку, отремонтировать парковку",18381,"['детский', 'площадка', 'отремонтировать', 'парковка']",General improvement
8382,проспект Мира,88Б,2021-06-11 18:13:42.412,Поменять окна  в школе №57,18382,"['поменять', 'окно', 'школа', '№', '57']",Need for a road
8383,улица Короленко,2,2021-06-05 22:39:59.583,ремонт крыши,18383,"['ремонт', 'крыша']",Major overhaul
8384,улица Университетская,5,2021-06-14 04:41:46.598,"Давно ждем ремонта в подъезде, просьба- побелить и покрасить в приятный цвет. ",18384,"['давно', 'ждать', 'ремонт', 'подъезд', 'просьба', '- ', 'побелить', 'покрасить', 'приятный', 'цвет']",General improvement
8385,улица И.П.Прокопьева,10,2021-06-09 00:06:30.550,"Спар, Рубль бум",18385,"['спар', 'рубль', 'бум']",General improvement
8386,улица Радужная,8,2021-06-07 15:30:40.615,"в микр. Радужный открыть школу, почту",18386,"['микра', 'радужный', 'открывать', 'школа', 'почта']",General improvement
8387,улица Пролетарская,5,2021-06-10 02:48:02.676,"Озеленить двор, установить детскую площадку ",18387,"['озеленять', 'двор', 'устанавливать', 'детский', 'площадка']",General improvement
8388,улица Тельмана,131,2021-06-10 15:55:45.609,хочу Аквапарк,18388,"['хотеть', 'аквапарк']",General improvement
8389,улица Родниковая,12 А,2021-06-06 14:59:04.150,Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.,18389,"['просить', 'оказывать', 'содействие', 'оформление', 'земельный', 'участок', 'свой', 'жилой', 'дом', 'придомовый', 'территория']",Need for a road
8390,"улица поселок Первомайский, ул. Лесная",1,2021-06-06 14:57:17.602,"Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.
Установить ограждение надетской площадке.",18390,"['просить', 'оказывать', 'содействие', 'оформление', 'земельный', 'участок', 'свой', 'жилой', 'дом', 'придомовый', 'территория', 'устанавливать', 'ограждение', 'надетский', 'площадка']",General improvement
8391,улица Кукшумская,5,2021-06-11 19:38:27.983,"Улучшить тротуар от остановки ""Ботанический сад"".",18391,"['улучшать', 'тротуар', 'остановка', ' ""', 'ботанический', 'сад', '""']",General improvement
8392,улица Короленко,16,2021-06-06 00:19:09.641,"дорогу вдоль гаражей
",18392,"['дорога', 'вдоль', 'гараж']",Need for a road
8393,улица Коммунистическая,28,2021-06-10 22:42:27.636,Отремонтированы дворы на низах,18393,"['отремонтировать', 'двор', 'низы']",Need for a road
8394,улица Эльменя,22,2021-06-04 20:41:29.528,"1)поменять покрытие дет.площадки
2)огородить забором детскую площадку от оврага (убрать мусор и заросли)",18394,"['1', ')', 'поменять', 'покрытие', 'дет', 'площадка', '2', ')', 'огораживать', 'забор', 'детский', 'площадка', 'овраг', ' (', 'убирать', 'мусор', 'заросль']",Need for a road
8395,проспект Тракторостроителей,63/21,2021-06-10 01:19:37.830,Возврат пенсионного возраста,18395,"['возврат', 'пенсионный', 'возраст']",Need for a road
8396,улица Ленинского Комсомола,52,2021-06-07 23:55:20.146,Место для выгула собак,18396,"['место', 'выгул', 'собака']",General improvement
8397,улица Советская,36,2021-06-14 20:26:46.800,Детскую площадку,18397,"['детский', 'площадка']",Playground
8398,улица Т.Кривова,3,2021-06-04 14:48:10.128,Облагородить парк Гузовского.,18398,"['облагораживать', 'парк', 'гузовский']",General improvement
8399,улица Советская,75,2021-06-08 23:01:06.808,Пустой,18399,['пустой'],General improvement
8400,улица Советская,73,2021-06-11 23:39:54.477,Освещение на стадион 19 школы!,18400,"['освещение', 'стадион', '19', 'школа', '!']",General improvement
8401,улица Чапаева,2,2021-06-08 20:53:59.457,Детскую площадку во двор .,18401,"['детский', 'площадка', 'двор']",Playground
8402,улица Эльгера,4,2021-06-09 09:42:22.358,"Благоустройство аллеи нашей, выбирали школьный бульвар",18402,"['благоустройство', 'аллея', 'наш', 'выбирать', 'школьный', 'бульвар']",General improvement
8403,проспект Тракторостроителей,67,2021-06-10 00:29:23.837,Хочется жить как при коммунизме,18403,"['хотеться', 'жить', 'коммунизм']",General improvement
8404,улица 50 лет Октября,20,2021-06-04 21:33:28.661,"Ремонт дорог
Детская площадка",18404,"['ремонт', 'дорогой', 'детский', 'площадка']",Need for a road
8405,улица Спортсмена Валериана Соколова,8/1,2021-06-07 14:47:26.318,"Обустройство детских площадок, ремонт дорог. ",18405,"['обустройство', 'детский', 'площадка', 'ремонт', 'дорога']",Need for a road
8406,улица Ф.Н.Орлова,18А,2021-06-06 12:58:13.932,Установить урны вдоль тротуара.,18406,"['устанавливать', 'урна', 'вдоль', 'тротуар']",General improvement
8407,улица Эльгера,12,2021-06-06 15:59:21.182,"Убрать вышку 5 G во дворе школы, так как она находиться на территории домов 10,12 и очень шумит. ",18407,"['убирать', 'вышка', '5', 'G', 'двор', 'школа', 'находиться', 'территория', 'дом', '10', '12', 'очень', 'шуметь']",General improvement
