Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem,named_labels
улица Советская,75,2021-06-08 22:54:56.663,Пустой,17925,['пустой'],Общее благоустройство
улица Хузангая,21,2021-06-12 20:11:11.435,Поставить ограждение возле цветников,17926,"['поставлять', 'ограждение', 'возле', 'цветник']",Общее благоустройство
улица Советская,5,2021-06-06 21:10:43.889,"Заасфальтировать пешеходную дорогу (мимо магазина ""Бульвар"")",17927,"['заасфальтировать', 'пешеходный', 'дорога', ' (', 'мимо', 'магазин', ' ""', 'бульвар']",Общее благоустройство
улица Космонавта Николаева А.Г.,40 корп. 1,2021-06-07 15:38:40.908,"Детская площадка
Парковки",17928,"['детский', 'площадка', 'парковка']",Парковка/школа
улица Совхозная (п Лапсары),25,2021-06-10 12:11:36.388,Сбербанк в п. Новые Лапсары,17929,"['сбербанк', 'п', 'новый', 'лапсар']",Общее благоустройство
бульвар Юго-Западный,5,2021-06-06 22:02:05.271,"очень страшный двор и подъезд 3, одни ямы и стены разбиты",17930,"['очень', 'страшный', 'двор', 'подъезд', '3', 'яма', 'стена', 'разбивать']",Общее благоустройство
улица Кадыкова,19,2021-06-08 20:34:28.041,Ремонт дорог,17931,"['ремонт', 'дорогой']",Ремонт дороги
бульвар Зеленый,1а,2021-06-06 12:38:43.038,За школой сделать нормальную дорогу,17932,"['школа', 'сделать', 'нормальный', 'дорога']",Общее благоустройство
улица Космонавта Николаева А.Г.,40,2021-06-07 15:45:35.916,"Детская площадка
Замена окон",17933,"['детский', 'площадка', 'замена', 'окно']",Детская площадка
улица Гагарина Ю.,30,2021-06-08 13:18:12.302,"Детская площадка
Ремонт тротуара",17934,"['детский', 'площадка', 'ремонт', 'тротуар']",Общее благоустройство
улица Энтузиастов,38 корп. 8,2021-06-07 09:32:32.890,Прошу поднять бюджетникам повысить зарплату,17935,"['просить', 'подымать', 'бюджетник', 'повышать', 'зарплата']",Общее благоустройство
улица Винокурова,2,2021-06-14 14:01:26.148,Доделать все строящиеся объекты ,17936,"['доделывать', 'весь', 'строиться', 'объект']",Общее благоустройство
бульвар Эгерский,6 корп. 1,2021-06-06 22:08:30.140,Ремонт вентиляционной трубы,17937,"['ремонт', 'вентиляционный', 'труба']",Общее благоустройство
бульвар Зеленый,1а,2021-06-06 12:23:06.343,Поставить скамейки около 1 подъезда,17938,"['поставлять', 'скамейка', 'около', '1', 'подъезд']",Необходимость дороги/тротуара
улица Космонавта Николаева А.Г.,26,2021-06-04 18:32:30.050,Установка скамеек возле подъезда,17939,"['установка', 'скамейка', 'возле', 'подъезд']",Общее благоустройство
улица Спортсмена Валериана Соколова,8/1,2021-06-07 14:46:01.967,"Дорога к ДОУ №200 очень быстро портится, ремонтируют каждый год. Отремонтировать спортивные площадки, скамейки.",17940,"['дорога', 'доу', '№', '200', 'очень', 'быстро', 'портиться', 'ремонтировать', 'каждый', 'год', 'отремонтировать', 'спортивный', 'площадка', 'скамейка']",Необходимость дороги/тротуара
"улица Сосновка, Юности",3,2021-06-12 19:46:43.741,Просим проконтролировать цены на продукты в Заволжье ,17941,"['просить', 'проконтролировать', 'цена', 'продукт', 'заволжье']",Необходимость дороги/тротуара
улица Совхозная (п Лапсары),23,2021-06-10 08:09:14.141,"Почему грузовые машины заезжают на агрохолдинг ""Юрма"" через посёлок Новые Лапсары?

(Имя, отчество записаны неразборчиво)",17942,"['почему', 'грузовой', 'машина', 'заезжать', 'агрохолдинг', ' ""', 'юрма', '"" ', 'поселок', 'новый', 'лапсар', '(', 'имя', 'отчество', 'записывать', 'неразборчиво']",Необходимость дороги/тротуара
улица Пролетарская,5,2021-06-10 02:59:46.926,"Озеленить двор, обустроить детскую площадку",17943,"['озеленять', 'двор', 'обустраивать', 'детский', 'площадка']",Общее благоустройство
улица 50 лет Октября,17,2021-06-05 11:56:26.655,Бесплатное лечение детям,17944,"['бесплатный', 'лечение', 'ребенок']",Капитальный ремонт в доме
улица Баумана,12,2021-06-10 06:18:46.126,Благоустройство детской площадки,17945,"['благоустройство', 'детский', 'площадка']",Общее благоустройство
проспект Тракторостроителей,52,2021-06-06 16:43:20.363,Сделать ремонт в подьезде.,17946,"['сделать', 'ремонт', 'подьезда']",Капитальный ремонт в доме
улица Молодежная,9,2021-06-07 19:02:03.248,"Нужна детская площадка, скамейки около подъездов, урны, мусорные баки ",17947,"['нужный', 'детский', 'площадка', 'скамейка', 'около', 'подъезд', 'урна', 'мусорный', 'бак']",Детская площадка
улица Лукина,1,2021-06-12 21:51:25.422,"Хотим чтобы построили школу, разнообразит транспорт надо. ",17948,"['хотеть', 'построить', 'школа', 'разнообразить', 'транспорт']",Необходимость дороги/тротуара
улица Терешковой,14,2021-06-10 14:22:00.749,Недовольны тарифами ОДН (горячая вода),17949,"['недовольный', 'тариф', 'одн', ' (', 'горячий', 'вода']",Необходимость дороги/тротуара
улица Академика РАН Х.М.Миначёва,11,2021-06-09 13:12:49.648,"1) Школа
2) ТЦ",17950,"['1', ') ', 'школа', '2', ') ', 'тц']",Детская площадка
проспект Ленина,55,2021-06-07 19:42:08.048,дом нуждается  в копитальном ремонте . обратите внимание на наш дом,17951,"['дом', 'нуждаться', 'копитальный', 'ремонт', 'обращать', 'внимание', 'наш', 'дом']",Общее благоустройство
проспект Чебоксарский,25,2021-06-08 23:14:35.001,"Озеленить придомовую территорию, магазин Фикспрайс",17952,"['озеленять', 'придомовый', 'территория', 'магазин', 'фикспрайс']",Общее благоустройство
улица Пролетарская,5,2021-06-07 21:33:40.128,Во дворе убрали скамейки,17953,"['двор', 'убирать', 'скамейка']",Общее благоустройство
улица Пролетарская,5,2021-06-07 21:39:08.469,Ремонт дорог,17954,"['ремонт', 'дорогой']",Ремонт дороги
улица Пролетарская,5,2021-06-05 21:44:11.019,Во дворе убрали скамейки,17955,"['двор', 'убирать', 'скамейка']",Общее благоустройство
улица Пролетарская,5,2021-06-05 22:03:32.491,Ремонт дорог,17956,"['ремонт', 'дорогой']",Ремонт дороги
улица Строителей,7,2021-06-05 16:34:48.790,Подкрасить стены и двери в подъездах,17957,"['подкрашивать', 'стена', 'дверь', 'подъезд']",Общее благоустройство
улица 10 Пятилетки,44,2021-06-09 22:47:31.253,Построить детский городок,17958,"['построить', 'детский', 'городок']",Необходимость дороги/тротуара
улица Ахазова,7,2021-06-13 14:54:02.957,"Уважаемый Андрей Юрьевич! 
Я, как председатель совета многоквартирного жилого дома № 7 по улице Ахазова, обращаюсь к Вам за содействием по включению в перечень общегородской программы г.Чебоксары благоустройство внутриквартальных дворовых проездов и дворовой территории жилых домов № 5,7,9 и 11 по улице Ахазова с детской площадкой в центре. 
На общем собрании собственниками жилья выразили согласие на софинансирование этих работ.
В настоящее время по всему периметру детской площадки стоят автомашины в ночное время более 40 едениц. Напротив, дома № 7 разъехаться двум машинам не позволяет ширина дороги. Из-за этого машины едут по тротуару, разбили его до ям, а тротуар предназначен не только для нас- жильцов дома, по нему идут дети из соседних домов в школу № 45. 
Заверяя Вас в поддержке а данной избирательной компании желаю  успехов в выборах и надеюсь на понимание нашей проблемы",17959,"['уважаемый', 'андрей', 'юрьевич', '!', ' \n', 'председатель', 'совет', 'многоквартирный', 'жилой', 'дом', '№', '7', 'улица', 'ахазов', 'обращаться', 'содействие', 'включение', 'перечень', 'общегородской', 'программа', 'г', 'чебоксары', 'благоустройство', 'внутриквартальный', 'дворовый', 'проезд', 'дворовый', 'территория', 'жилой', 'дом', '№', '5', '7', '9', '11', 'улица', 'ахазов', 'детский', 'площадка', 'центр', ' \n', 'общий', 'собрание', 'собственник', 'жилье', 'выражать', 'согласие', 'софинансирование', 'работа', 'настоящий', 'время', 'весь', 'периметр', 'детский', 'площадка', 'стоять', 'автомашина', 'ночной', 'время', '40', 'еденица', 'напротив', 'дом', '№', '7', 'разъехаться', 'машина', 'позволять', 'ширина', 'дорога', 'из-за', 'это', 'машина', 'ехать', 'тротуар', 'разбивать', 'яма', 'тротуар', 'предназначать', '- ', 'жилец', 'дом', 'идти', 'ребенок', 'соседний', 'дом', 'школа', '№', '45', ' \n', 'заверять', 'поддержка', 'данный', 'избирательный', 'компания', 'желать', 'успех', 'выборы', 'надеяться', 'понимание', 'наш', 'проблема']",Общее благоустройство
улица Коммунистическая,24,2021-06-09 11:55:04.913,Козырьки на балконных ,17960,"['козырек', 'балконный']",Детская площадка
бульвар Солнечный,18 корп. 1,2021-06-06 08:24:23.985,Пустить 14 троллейбус в микрорайон. Построить дополнительные магазины.,17961,"['пускать', '14', 'троллейбус', 'микрорайон', 'построить', 'дополнительный', 'магазин']",Общее благоустройство
улица Строителей,16,2021-06-12 10:31:18.507,Благоустройство пешеходной и велопарковки и велодорожки по ул. Строителей,17962,"['благоустройство', 'пешеходный', 'велопарковка', 'велодорожка', 'ул', 'строитель']",Необходимость дороги/тротуара
проспект Мира,23А,2021-06-09 11:23:34.736,"хотим детскую площадку по пр.Мира 23, 25
и вывеску на детской плащадки собак не выгуливать ",17963,"['хотеть', 'детский', 'площадка', 'пр', 'мир', '23', '25', 'вывеска', 'детский', 'плащадка', 'собака', 'выгуливать']",Детская площадка
улица Коммунистическая,22,2021-06-07 19:23:22.331,Доделать детскую площадку,17964,"['доделывать', 'детский', 'площадка']",Детская площадка
улица Ленинского Комсомола,36,2021-06-08 21:00:16.875,Ремонт крыши,17965,"['ремонт', 'крыша']",Капитальный ремонт в доме
улица Ленинского Комсомола,36,2021-06-08 21:03:00.629,Ремонт крыши,17966,"['ремонт', 'крыша']",Капитальный ремонт в доме
улица Т.Кривова,18,2021-06-03 22:07:32.420,Низкая пенсия и заработная плата. Произвести капремонт инженерных сетей.,17967,"['низкий', 'пенсия', 'заработный', 'плата', 'производить', 'капремонт', 'инженерный', 'сеть']",Общее благоустройство
бульвар Эгерский,47,2021-06-11 18:08:07.213,Проложить асфальт на пешеходной дороге.,17968,"['пролагать', 'асфальт', 'пешеходный', 'дорога']",Капитальный ремонт в доме
улица Токмакова,21,2021-06-10 12:01:01.684,Ремонт дороги по улице Токмакова.,17969,"['ремонт', 'дорога', 'улица', 'токмаков']",Необходимость дороги/тротуара
улица Строителей,5 корп. 1,2021-06-05 22:31:40.782,Баскетбольная площадка! Парковка!,17970,"['баскетбольный', 'площадка', '! ', 'парковка', '!']",Детская площадка
улица Афанасьева,14,2021-06-06 00:06:21.526,Поставить фонари около 27 детского сада.,17971,"['поставлять', 'фонарь', 'около', '27', 'детский', 'сад']",Общее благоустройство
улица Ярмарочная,19 корп. 3,2021-06-07 18:16:39.148,"Проложить дорогу с дома 17 к домам 19-к./1,/2/,3/,4 по улице Ярмарочная",17972,"['пролагать', 'дорога', 'дом', '17', 'дом', '19', '-', '/', '1', ',/', '2', '/,', '3', '/,', '4', 'улица', 'ярмарочный']",Необходимость дороги/тротуара
проспект 9-й Пятилетки,6,2021-06-12 06:48:06.201,Убрать после ремонта остатки асфальта.,17973,"['убирать', 'ремонт', 'остаток', 'асфальт']",Общее благоустройство
улица Спартака,53,2021-06-07 17:02:03.803,улучшить дет.площадку (горку и песок),17974,"['улучшать', 'дет', 'площадка', ' (', 'горка', 'песок']",Детская площадка
"улица д. Чандрово, ул. Чандровская",31,2021-06-10 22:29:49.826,"Отремонтировать дорогу, клуб, сделать тротуары,провести интернет, построить садик, течет ржавая вода",17975,"['отремонтировать', 'дорога', 'клуб', 'сделать', 'тротуар', 'проводить', 'интернет', 'построить', 'садик', 'течь', 'ржавый', 'вода']",Необходимость дороги/тротуара
улица Красногорская,11,2021-06-10 15:54:36.613,"река перекрыта, и нужно почистить трубы",17976,"['река', 'перекрывать', 'нужно', 'почистить', 'труба']",Общее благоустройство
улица Нижегородская,4,2021-06-08 14:23:55.593,"Ремонт дорог по  ул. Нижегородская. Сделать экопарковки, скамейки.",17977,"['ремонт', 'дорога', 'ул', 'нижегородский', 'сделать', 'экопарковка', 'скамейка']",Общее благоустройство
улица Маршака,12,2021-06-14 08:44:29.107,Поставить площадку для детей во дворе.,17978,"['поставлять', 'площадка', 'ребенок', 'двор']",Необходимость дороги/тротуара
улица Советская,16,2021-06-08 15:20:46.027,Просьба сделать ограждение вокруг клумбы около дома. Сделать детский городок справа от дома,17979,"['просьба', 'сделать', 'ограждение', 'вокруг', 'клумба', 'около', 'дом', 'сделать', 'детский', 'городок', 'справа', 'дом']",Необходимость дороги/тротуара
улица Ленинского Комсомола,40А,2021-06-08 19:01:37.232,"Повышение пенсии
Порядок очередей в больнице",17980,"['повышение', 'пенсия', 'порядок', 'очередь', 'больница']",Общее благоустройство
улица Баумана,12,2021-06-10 04:03:29.134,Детская площадка,17981,"['детский', 'площадка']",Детская площадка
бульвар А.Миттова,20,2021-06-12 03:57:48.253,Сделать безопасную стоянку во дворе,17982,"['сделать', 'безопасный', 'стоянка', 'двор']",Общее благоустройство
улица Родниковая,71,2021-06-06 14:45:30.694,Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.,17983,"['просить', 'оказывать', 'содействие', 'оформление', 'земельный', 'участок', 'свой', 'жилой', 'дом', 'придомовый', 'территория']",Необходимость дороги/тротуара
улица Советская,36,2021-06-14 20:19:59.006,Организовать отдельные зоны для выгула собак,17984,"['организовывать', 'отдельный', 'зона', 'выгул', 'собака']",Необходимость дороги/тротуара
улица Энгельса,38,2021-06-07 20:08:19.899,"1. копитальный ремонт крыши
2. ремонт фасада дома",17985,"['1', 'копитальный', 'ремонт', 'крыша', '2', 'ремонт', 'фасад', 'дом']",Капитальный ремонт в доме
улица Ашмарина,34А,2021-06-05 21:18:27.981,"Отремонтировать детскую площадку, велодорожку. Сделать освещение.",17986,"['отремонтировать', 'детский', 'площадка', 'велодорожка', 'сделать', 'освещение']",Необходимость дороги/тротуара
улица Константина Иванова,94,2021-06-07 15:52:58.236,"ужасный тротуар от дома до ул.Афанасьева , нужен ремонт",17987,"['ужасный', 'тротуар', 'дом', 'ул', 'афанасьев', ' , ', 'нужный', 'ремонт']",Общее благоустройство
улица Шумилова,13,2021-06-11 23:03:03.574,"Освещение двора
Благоустройство дет. площадки.",17988,"['освещение', 'двор', 'благоустройство', 'дет', 'площадка']",Необходимость дороги/тротуара
улица Шумилова,13,2021-06-11 23:01:49.554,"Освещение двора
Благоустройство дет. площадки.
Стоянка для машин",17989,"['освещение', 'двор', 'благоустройство', 'дет', 'площадка', 'стоянка', 'машина']",Общее благоустройство
улица Академика Королева,13,2021-06-06 22:43:07.721,"тротуары, дороги.Нет спуска для колясок, Плитка уложена с большими зазорами колеса колясок проваливаются",17990,"['тротуар', 'дорога', 'спуск', 'коляска', 'плитка', 'укладывать', 'большой', 'зазор', 'колесо', 'коляска', 'проваливаться']",Парковка/школа
улица Мичмана Павлова,30,2021-06-09 10:49:07.847,Поддерживаем благоустройство Школьного бульвара,17991,"['поддерживать', 'благоустройство', 'школьный', 'бульвар']",Необходимость дороги/тротуара
бульвар Солнечный,10 корп. 1,2021-06-05 23:38:51.923,"Построить сквер, площадки для спорта.",17992,"['построить', 'сквер', 'площадка', 'спорт']",Необходимость дороги/тротуара
улица Космонавта Николаева А.Г.,36,2021-06-07 15:51:51.507,"Скамейки во дворе
Сушки для белья",17993,"['скамейка', 'двор', 'сушка', 'белье']",Детская площадка
улица Болгарстроя,7,2021-06-05 19:51:04.955,Обновить детские площадки. Проложить дорогу через овраг.,17994,"['обновлять', 'детский', 'площадка', 'пролагать', 'дорога', 'овраг']",Необходимость дороги/тротуара
улица Энгельса,3 корп. 2,2021-06-09 14:43:02.457,закапать ямы на территории нашего дома. нет площадки для детей,17995,"['закапывать', 'яма', 'территория', 'наш', 'дом', 'площадка', 'ребенок']",Общее благоустройство
улица Советская,38,2021-06-14 21:03:28.014,"Ремонт дороги во дворе, убрать шлагбаум",17996,"['ремонт', 'дорога', 'двор', 'убирать', 'шлагбаум']",Необходимость дороги/тротуара
улица Энтузиастов,15,2021-07-06 13:14:51.415,"Улучшение дороги, детских площадок, все для детей.
",17997,"['улучшение', 'дорога', 'детский', 'площадка', 'ребенок']",Детская площадка
улица Энтузиастов,15,2021-06-10 16:15:02.327,"дет.площадка  ремонт дорог около д.15,17 ул.Энтузиастов",17998,"['дет', 'площадка', 'ремонт', 'дорога', 'около', 'д', '15', '17', 'ул', 'энтузиаст']",Необходимость дороги/тротуара
улица Шумилова,12 корп. 1,2021-06-13 00:32:53.204,"Отремонтровать дорогу вдоль домов по улице Шумилова, д. 10, 12/1, 12/2 во дворе (ямы, выбоины).",17999,"['отремонтровать', 'дорога', 'вдоль', 'дом', 'улица', 'шумилов', 'д', '10', '12', '/', '1', '12', '/', '2', 'двор', ' (', 'яма', 'выбоина', ')']",Необходимость дороги/тротуара
улица Ленинградская,16,2021-06-05 00:11:55.138,"огородить территорию дома от въезда других, установить автоматические ворота",18000,"['огораживать', 'территория', 'дом', 'въезд', 'устанавливать', 'автоматический', 'ворота']",Общее благоустройство
улица Восточная,6,2021-06-04 20:05:10.517,Ремонт дорог,18001,"['ремонт', 'дорогой']",Ремонт дороги
улица Заовражная,49,2021-06-06 00:05:23.477,Установить остановочные павильоны. ,18002,"['устанавливать', 'остановочный', 'павильон']",Общее благоустройство
улица Винокурова,65,2021-06-08 20:34:06.339,Поменять ящики в подъезде. Сделать ремонт.,18003,"['поменять', 'ящик', 'подъезд', 'сделать', 'ремонт']",Капитальный ремонт в доме
улица Социалистическая,2 корп. 1,2021-06-11 00:50:24.629,Сделать перила на входе в подъезд 1. Отремонтировать дороги,18004,"['сделать', 'перила', 'вход', 'подъезд', '1', 'отремонтировать', 'дорога']",Капитальный ремонт в доме
улица Академика Королева,5,2021-06-06 22:25:18.375,освещение,18005,['освещение'],Общее благоустройство
проспект Тракторостроителей,36,2021-06-06 19:22:11.933,Убрать строительный мусор возле дома.,18006,"['убирать', 'строительный', 'мусор', 'возле', 'дом']",Общее благоустройство
улица Баумана,12,2021-06-12 06:41:18.707,"Поднять вопрос о том, почему звание ""Ветеран труда"" убирается из-за инвалидности",18007,"['подымать', 'вопрос', 'почему', 'звание', ' ""', 'ветеран', 'труд', '"" ', 'убираться', 'из-за', 'инвалидность']",Общее благоустройство
улица Константина Иванова,81,2021-06-07 15:50:52.878,"сделать дет.площадку
сделать ИДН или шлагбаум от магазина ""Яблочко"" до ""Кирпичного завода""
",18008,"['сделать', 'дет', 'площадка', 'сделать', 'идна', 'шлагбаум', 'магазин', ' ""', 'яблочко', '"" ', ' ""', 'кирпичный', 'завод']",Общее благоустройство
улица Фруктовая,4,2021-06-09 03:28:31.086,"Проработайте вопрос по появлению площадок для выгула собак в ЮЗР
По поводу продажи участка под застройку лесной зоны по б-ру Миттова",18009,"['прорабатывать', 'вопрос', 'появление', 'площадка', 'выгул', 'собака', 'юзра', 'повод', 'продажа', 'участок', 'застройка', 'лесной', 'зона', 'б', '-', 'ру', 'миттов']",Общее благоустройство
улица Винокурова,2,2021-06-14 13:59:23.402,Куда идти голосовать?,18010,"['идти', 'голосовать']",Необходимость дороги/тротуара
улица Винокурова,2,2021-06-14 18:16:39.237,Личная встреча1,18011,"['личный', 'встреча1']",Общее благоустройство
улица Мичмана Павлова,39,2021-06-15 21:01:03.566,"Обустроить площадку перед домом  поставить скамейки, высадить больше деревьев. Отремонтировать подъездные пути к дому. ",18012,"['обустраивать', 'площадка', 'дом', 'поставлять', 'скамейка', 'высаживать', 'дерево', 'отремонтировать', 'подъездной', 'путь', 'дом']",Необходимость дороги/тротуара
улица П.В.Дементьева,22,2021-06-09 11:24:15.741,"школу, спорт и музыкальную школу, ",18013,"['школа', 'спорт', 'музыкальный', 'школа']",Общее благоустройство
улица Петра Ермолаева,1,2021-06-07 17:17:18.756,Будь честен к народу,18014,"['честный', 'народ']",Капитальный ремонт в доме
улица Эльгера,14,2021-06-06 21:32:03.876,Отремонтировать детскую площадку.,18015,"['отремонтировать', 'детский', 'площадка']",Необходимость дороги/тротуара
улица Чернышевского,29,2021-06-07 23:08:04.896,Банкомат Сбербанк,18016,"['банкомат', 'сбербанк']",Детская площадка
улица Винокурова,115,2021-06-12 07:14:04.296,Просим отремонтировать подъезд,18017,"['просить', 'отремонтировать', 'подъезд']",Капитальный ремонт в доме
улица Гражданская,60 корп. 1,2021-06-05 21:21:37.346,"сделать порядок на дет.площадке, спилить деревья, покрасить скамейки, сделать отмостку",18018,"['сделать', 'порядок', 'дет', 'площадка', 'спиливать', 'дерево', 'покрасить', 'скамейка', 'сделать', 'отмостка']",Детская площадка
бульвар Зеленый,2,2021-06-06 20:28:43.334,Расширить парковку,18019,"['расширять', 'парковка']",Парковка/школа
улица И.П.Прокопьева,16,2021-06-09 00:02:34.303,Спуск к Волге,18020,"['спуск', 'волга']",Парковка/школа
проспект Мира,23Б,2021-06-09 09:41:22.321,"ремонт дорог , тротуаров",18021,"['ремонт', 'дорогой', ' , ', 'тротуар']",Ремонт дороги
улица Эльгера,16,2021-06-06 21:05:43.970,"1) Хотела бы чтобы сделали ремонт детской площадки и парка Гузовского.
2) Заделать межпанельные швы.
3) Установить удобные скамейки возле дома. ",18022,"['1', ') ', 'хотеть', 'сделать', 'ремонт', 'детский', 'площадка', 'парк', 'гузовский', '2', ') ', 'заделывать', 'межпанельный', 'шов', '3', ') ', 'устанавливать', 'удобный', 'скамейка', 'возле', 'дом']",Общее благоустройство
улица Эльгера,16,2021-06-06 18:37:04.300,"1) Ремонт Гузовского парка. 
2) Замазать межпанельные швы. 
3) Закрытую песочницу для детей. ",18023,"['1', ') ', 'ремонт', 'гузовский', 'парк', ' \n', '2', ') ', 'замазывать', 'межпанельный', 'шов', ' \n', '3', ') ', 'закрывать', 'песочница', 'ребенок']",Общее благоустройство
улица Афанасьева,6 корп. 1,2021-06-06 00:53:17.412,Отремонтировать крышу дома по адресу ул. Афанасьева 6/1,18024,"['отремонтировать', 'крыша', 'дом', 'адрес', 'ул', 'афанасьев', '6', '/', '1']",Общее благоустройство
улица Кадыкова,11,2021-06-08 20:28:49.892,Ремонт дороги,18025,"['ремонт', 'дорога']",Ремонт дороги
улица Лукина,3,2021-06-17 11:32:00.851,Школу бы быстрее начали строить. Садик под окном попасть не можем 2 год. ,18027,"['школа', 'быстро', 'начинать', 'строить', 'садик', 'окно', 'попадать', 'мочь', '2', 'год']",Необходимость дороги/тротуара
улица Винокурова,69,2021-06-08 09:25:36.662,"Улучшить детскую площадку.
Отремонтировать дорогу за 75 домом",18028,"['улучшать', 'детский', 'площадка', 'отремонтировать', 'дорога', '75', 'дом']",Необходимость дороги/тротуара
переулок Кошкинский,5,2021-06-07 22:16:49.650,"пенсию повысить, получить бесплатные лекараства",18029,"['пенсия', 'повышать', 'получать', 'бесплатный', 'лекараства']",Общее благоустройство
проспект Максима Горького,49,2021-06-07 17:57:12.588,Сделать спуск к Волге для инвалидов.,18030,"['сделать', 'спуск', 'волга', 'инвалид']",Общее благоустройство
проспект Максима Горького,49,2021-06-07 17:59:47.760,Сделать спуск к Волге для инвалидов.,18031,"['сделать', 'спуск', 'волга', 'инвалид']",Общее благоустройство
улица Энтузиастов,13,2021-06-10 16:30:01.774,"дет площадку, ",18032,"['дет', 'площадка']",Детская площадка
улица Энтузиастов,13,2021-07-06 12:56:25.099,"Обустроить детскую площадку.
",18033,"['обустраивать', 'детский', 'площадка']",Общее благоустройство
улица П.В.Дементьева,18,2021-06-09 11:11:07.239,"построить школу, 
Дементьева д.18 включить освещение",18034,"['построить', 'школа', ', \n', 'дементьев', 'д', '18', 'включать', 'освещение']",Общее благоустройство
улица Хузангая,27,2021-06-12 19:30:57.774,"С прошлого года яма  около дома.
Вход  в школу должен  быть обозначен знаком. Дети боятся перейти дорогу.",18035,"['прошлый', 'год', 'яма', 'около', 'дом', 'вход', 'школа', 'должный', 'обозначать', 'знакомый', 'ребенок', 'бояться', 'переходить', 'дорога']",Необходимость дороги/тротуара
проспект Тракторостроителей,35/19,2021-06-12 07:29:16.532,"Детская площадка, парковка ",18036,"['детский', 'площадка', 'парковка']",Парковка/школа
улица Красина,4,2021-06-06 00:49:30.506,Доделать дорогу около театра оперы и балета.,18037,"['доделывать', 'дорога', 'около', 'театр', 'опера', 'балет']",Необходимость дороги/тротуара
улица Б.С.Маркова,14,2021-06-08 13:54:28.392,"Благоустройство и озеленение дворовой территории по адресу ул. Б.С.Маркова 14.
Нет остановки в р-не 30 автодороги.",18038,"['благоустройство', 'озеленение', 'дворовый', 'территория', 'адрес', 'ул', 'б', 'марков', '14', 'остановка', 'р-н', '30', 'автодорога']",Необходимость дороги/тротуара
бульвар Солнечный,18 корп. 1,2021-06-06 08:31:57.135,Потравить муравьев в доме.,18039,"['потравить', 'муравей', 'дом']",Необходимость дороги/тротуара
улица Хевешская,20,2021-06-14 19:53:28.096,во дворе нужна спортивная площадка,18040,"['двор', 'нужный', 'спортивный', 'площадка']",Общее благоустройство
бульвар А.Миттова,33,2021-06-12 10:22:31.642,Построить спортивный центр ФОК,18041,"['построить', 'спортивный', 'центр', 'фок']",Необходимость дороги/тротуара
улица Мичмана Павлова,30,2021-06-09 11:16:34.274,Срочно ремонтируйте школьный бульвар. Очень много мусора,18042,"['срочно', 'ремонтировать', 'школьный', 'бульвар', 'очень', 'мусор']",Необходимость дороги/тротуара
проспект Мира,18,2021-06-04 21:07:55.661,"Благоустройство двора
Детская площадка",18043,"['благоустройство', 'двор', 'детский', 'площадка']",Общее благоустройство
улица Корнея Чуковского,31А,2021-06-08 18:08:22.651,"Дороги, освещение",18044,"['дорога', 'освещение']",Необходимость дороги/тротуара
улица Космонавта Николаева А.Г.,53,2021-06-14 17:27:38.282,Построить детскую площадку,18045,"['построить', 'детский', 'площадка']",Детская площадка
улица Винокурова,4,2021-06-14 13:50:15.558,"Ремонт в подъезде, замена почтовых ящиков ",18046,"['ремонт', 'подъезд', 'замена', 'почтовый', 'ящик']",Капитальный ремонт в доме
бульвар Юности,8,2021-06-12 14:04:46.212,Хотим с боку ( торца) дома Б.Юности 6-7т кв сделать парковку ( жильцы дома №6 ) ,18047,"['хотеть', 'бок', ' ( ', 'торец', ') ', 'дома', 'б', 'юность', '6', '-', '7т', 'кв', 'сделать', 'парковка', ' ( ', 'жилец', 'дом', '№', '6']",Необходимость дороги/тротуара
улица Космонавта Николаева А.Г.,40 корп. 1,2021-06-07 15:36:15.816,Новые скамейки во дворе,18048,"['новый', 'скамейка', 'двор']",Общее благоустройство
улица И.П.Прокопьева,4,2021-06-07 20:41:38.358,Сделать спуск к Волге,18049,"['сделать', 'спуск', 'волга']",Общее благоустройство
улица Н.Сверчкова,11 корп. 1,2021-06-04 15:24:11.067,Отремонтировать спуск к реке Волге от Волжского-2 к пляжу.,18050,"['отремонтировать', 'спуск', 'река', 'волга', 'волжский', '-', '2', 'пляж']",Общее благоустройство
улица Короленко,6А,2021-06-05 22:22:53.634,парк,18051,['парк'],Парковка/школа
улица Чернышевского,27,2021-06-08 10:15:29.234,"Убедительно просим, нет поблизости банкоматов, садиков с бассейном, нет транспорта на вещевой рынок Ярмарка, нет поликлиники, парков, скверов, негде с детьми гулять",18052,"['убедительно', 'просить', 'поблизости', 'банкомат', 'садик', 'бассейн', 'транспорт', 'вещевой', 'рынок', 'ярмарка', 'поликлиника', 'парк', 'сквер', 'негде', 'ребенок', 'гулять']",Общее благоустройство
улица Репина,113,2021-06-07 23:03:13.297,ремонт дороги и расширить,18053,"['ремонт', 'дорога', 'расширять']",Необходимость дороги/тротуара
улица Репина,113,2021-06-07 23:00:16.368,"ремонт дороги по ул Репина, от Котовского до Фучика",18054,"['ремонт', 'дорога', 'ул', 'репин', 'котовский', 'фучик']",Необходимость дороги/тротуара
