"id","text_appeal","adress","home","text_appeal_lem","type","lat","lng","created_at","updated_at"
"16987","На парковке перед домом на ул. Водопроводная 22 был возведен незаконный объект, при строительстве которого произошло затопление подземных гаражей. Жители против возведения данного объекта.
Благоустройство и озеленение дворовой территории по адресу ул. Водопроводная 22.","улица Водопроводная","22","""['парковка', 'дом', 'ул', 'водопроводный', '22', 'возводить', 'незаконный', 'объект', 'строительство', 'который', 'происходить', 'затопление', 'подземный', 'гараж', 'житель', 'против', 'возведение', 'данный', 'объект', 'благоустройство', 'озеленение', 'дворовый', 'территория', 'адрес', 'ул', 'водопроводный', '22']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16988","Детская площадка во дворе","улица 50 лет Октября","22","""['детский', 'площадка', 'двор']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16989","Детская площадка во дворе
Ремонт крыши","улица Ленинского Комсомола","36","""['детский', 'площадка', 'двор', 'ремонт', 'крыша']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16990","Поменять окна на пластиковые","улица Николая Гастелло","13","""['поменять', 'окно', 'пластиковый']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16991","Знак для запрета заезда большегрузов.","улица Совхозная (п Лапсары)","11","""['знак', 'запрет', 'заезд', 'большегруз']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16992","Благоустройство двора, подъездных путей и тротуаров нет, нужен ремонт в подъезде","улица Винокурова","4","""['благоустройство', 'двор', 'подъездной', 'путь', 'тротуар', 'нужный', 'ремонт', 'подъезд']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16993","Убрать ямы под окнами","улица Винокурова","4","""['убирать', 'яма', 'окно']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16994","Сделать дороги лапсарский проезд. ","улица Ахазова","2","""['сделать', 'дорога', 'лапсарский', 'проезд']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16995","Волнует проблема образования, не хватает молодых педагогов, т.к. низкий уровень заработной платы. Проблема в области здравоохранения - хорошие специалисты уезжают в другие регионы, т.к. зарплата маленькая.","проспект Максима Горького","26","""['волновать', 'проблема', 'образование', 'хватать', 'молодой', 'педагог', 'т', 'низкий', 'уровень', 'заработный', 'плата', 'проблема', 'область', 'здравоохранение', ' - ', 'хороший', 'специалист', 'уезжать', 'регион', 'т', 'зарплата', 'маленький']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16996","ремонт тротуара (двор)","улица Короленко","22 корп. 1","""['ремонт', 'тротуар', ' (', 'двор']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16997","построить школу, парк","улица П.В.Дементьева","18 корп. 2","""['построить', 'школа', 'парк']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16998","Поставить запрещающий знак вдоль дороги 45 дома","улица Гагарина Ю.","45","""['поставлять', 'запрещать', 'знак', 'вдоль', 'дорога', '45', 'дом']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"16999","Просьба установить камеры на каждом подъезде, так как везде во дворах бегают дети, а машины во дворах летают","улица Чернышевского","27","""['просьба', 'устанавливать', 'камера', 'каждый', 'подъезд', 'везде', 'двор', 'бегать', 'ребенок', 'машина', 'двор', 'летать']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17000","Бесплатная медицина. Отремонтировать детские площадки,двор.","улица Кадыкова","4","""['бесплатный', 'медицина', 'отремонтировать', 'детский', 'площадка', 'двор']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17001","Отремонтировать дорогу и построить тротуар, поставить аптечный павильон","улица д. Чандрово, ул. Чандровская","84","""['отремонтировать', 'дорога', 'построить', 'тротуар', 'поставлять', 'аптечный', 'павильон']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17002","Обновить детскую площадку","проспект Тракторостроителей","81","""['обновлять', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17003","Обновить детскую площадку","проспект Тракторостроителей","81","""['обновлять', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17004","Обустроить детские, спортивные площадки.","улица Ашмарина","34А","""['обустраивать', 'детский', 'спортивный', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17005","Отремонтировать садик, детскую площадку, улучшить дороги.","улица Хузангая","28","""['отремонтировать', 'садик', 'детский', 'площадка', 'улучшать', 'дорога']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17006","На стадионе ""Трактор"" установить тренажеры","улица Хузангая","28","""['стадион', ' \""', 'трактор', '\"" ', 'устанавливать', 'тренажер']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17007","Открыть отделение Сбербанка в Заволжье
Информационно-культурные центры в каждом поселке","улица Санаторная","2","""['открывать', 'отделение', 'сбербанк', 'заволжье', 'информационно', '-', 'культурный', 'центр', 'каждый', 'поселок']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17008","Улучшить дорогу, детская площадка.","проспект Мира","92","""['улучшать', 'дорога', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17009","Открыть баню. Отремонтировать дороги.","улица Ашмарина","34","""['открывать', 'баня', 'отремонтировать', 'дорога']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17010","Построить спортивные и детские площадки.","улица Ашмарина","34","""['построить', 'спортивный', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17011","1. ремонт подьездов
2. установить парковочные места
3.ремонт крыши ","улица Энгельса","44","""['1', 'ремонт', 'подьезд', '2', 'устанавливать', 'парковочный', 'место', '3', 'ремонт', 'крыша']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17012","Увеличить пенсию по инвалидности. Доступные лекарства.","улица Ленинского Комсомола","76","""['увеличивать', 'пенсия', 'инвалидность', 'доступный', 'лекарство']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17013","сделать дороги, площадки
хаккейную коробку","проспект Мира","23","""['сделать', 'дорога', 'площадка', 'хаккейный', 'коробка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17014","просьба сделать дорогу перед подъездом 4, и фасад подъезда отремонтировать","улица Эльменя","3","""['просьба', 'сделать', 'дорога', 'подъезд', '4', 'фасад', 'подъезд', 'отремонтировать']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17015","Нужно обновить детскую площадку и дорогу","бульвар Юности","4","""['нужно', 'обновлять', 'детский', 'площадка', 'дорога']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17016","школа, детские площадку, футбольную коробку","улица Эльменя","34","""['школа', 'детский', 'площадка', 'футбольный', 'коробка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17017","отремонтировать дорогумвозле дома

нет парковки","улица Энгельса","48 корп. 1","""['отремонтировать', 'дорогумвозле', 'дом', 'парковка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17018","Желаем чтобы именно Ольга Исааковна была у нас! Очень просим Вас благоустроить наш двор! Хотим спортивную площадку!","улица Советская","67","""['желать', 'именно', 'ольга', 'исааковна', '! ', 'очень', 'просить', 'благоустраивать', 'наш', 'двор', '! ', 'хотеть', 'спортивный', 'площадка', '!']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17019","дет.площадку ","улица П.В.Дементьева","22","""['дет', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17020","Коммунальные услуги понизить. ","улица Ахазова","11","""['коммунальный', 'услуга', 'понижать']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17021","Улучшение козырька
Ремонт в подъезде
Поставить скамейки
","проспект Мира","36","""['улучшение', 'козырек', 'ремонт', 'подъезд', 'поставлять', 'скамейка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17022","асфальт около 1 подъезда","улица Энтузиастов","23","""['асфальт', 'около', '1', 'подъезд']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17023","Отремонтировать спуск к реке Волге от Волжского-2 к пляжу.","улица Н.Сверчкова","15","""['отремонтировать', 'спуск', 'река', 'волга', 'волжский', '-', '2', 'пляж']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17024","Проверить вентиляцию кафе и пекарни, запах поднимается в квартиры","улица Винокурова","29","""['проверять', 'вентиляция', 'кафе', 'пекарня', 'запах', 'подниматься', 'квартира']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17025","Сделать детскую площадку как в Волжском -3.","улица Эльгера","12","""['сделать', 'детский', 'площадка', 'волжский', ' -', '3']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17026","Открыть маршрутный транспорт по улице Афанасьева.","улица Афанасьева","19","""['открывать', 'маршрутный', 'транспорт', 'улица', 'афанасьев']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17027","Установить дет. площадку","улица Хузангая","27","""['устанавливать', 'дет', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17028","Во дворе нашего дома нужна детская площадка для детей разного возраста","улица Гражданская","109","""['двор', 'наш', 'дом', 'нужный', 'детский', 'площадка', 'ребенок', 'разный', 'возраст']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17029","по адресу пр-кт. Максима Горького 38/2 установить спортивную площадку, сделать футбольное поле.","проспект Максима Горького","38/2","""['адрес', 'пр-кт', 'максим', 'горький', '38', '/', '2', 'устанавливать', 'спортивный', 'площадка', 'сделать', 'футбольный', 'поле']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17030","Нужна парковка!","бульвар Зеленый","2","""['нужный', 'парковка', '!']""","Parking",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17031","Установка пандуса-подъемника","улица Ленинского Комсомола","23 корп. 3","""['установка', 'пандус', '-', 'подъемник']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17032","Хорошую детскую площадку","проспект Тракторостроителей","81","""['хороший', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17033","Обустроить детскую площадку","проспект Тракторостроителей","81","""['обустраивать', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17034","Темно в подьезде, проводку поменять.","проспект Мира","76","""['темно', 'подьезде', 'проводка', 'поменять']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:53"
"17035","Замена лифта, запрет продажи алкогольной и табачной  продукции по адресу пр. Мира д 76 на 1 этаже. Улучшение детской игровой площадки на территории д. 72-д. 76.","проспект Мира","76","""['замена', 'лифт', 'запрет', 'продажа', 'алкогольный', 'табачный', 'продукция', 'адрес', 'пр', 'мир', 'д', '76', '1', 'этаж', 'улучшение', 'детский', 'игровой', 'площадка', 'территория', 'д', '72', '-', 'д', '76']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17036","Закрыть кафе круглосуточное по ул.Терешкова 6а, много во дворе бездомных собак","улица Молодежная","7","""['закрывать', 'кафе', 'круглосуточный', 'ул', 'терешков', '6а', 'двор', 'бездомный', 'собака']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17037","Увеличить число бюджетных мест в ВУЗах республики.
Открыть отделение Сбербанка в микрорайоне.
Благоустроить парк перед заводом им.Чапаева","улица Социалистическая","2","""['увеличивать', 'число', 'бюджетный', 'место', 'вуз', 'республика', 'открывать', 'отделение', 'сбербанк', 'микрорайон', 'благоустраивать', 'парк', 'завод', 'чапаев']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17038","Детская площадка, отопление","проспект Тракторостроителей","39","""['детский', 'площадка', 'отопление']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17039","Построить школу и детскую поликлинику в мкр ""Солнечный""","проспект Тракторостроителей","39","""['построить', 'школа', 'детский', 'поликлиника', 'мкр', ' \""', 'солнечный']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17040","отремонтировать дорогу от остановки ""Шумилова"" до ""Магнита"" мимо аптеки","улица Шумилова","11","""['отремонтировать', 'дорога', 'остановка', ' \""', 'шумилов', '\"" ', ' \""', 'магнит', '\"" ', 'мимо', 'аптека']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17041","Нужна площадка для выгула собак.","улица Кадыкова","13","""['нужный', 'площадка', 'выгул', 'собака']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17042","Ремонт в подъезде, скамейки на детской площадке, наружные отмостки ","улица Солнечная","5","""['ремонт', 'подъезд', 'скамейка', 'детский', 'площадка', 'наружный', 'отмостка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17043","Просим обновить детскую площадку","бульвар Юго-Западный","17","""['просить', 'обновлять', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17044","Ремонт уличной дороги.","улица Перова","3","""['ремонт', 'уличный', 'дорога']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17045","Благоустройство вокруг дома, детская площадка.","проспект Тракторостроителей","24","""['благоустройство', 'вокруг', 'дом', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17046","спортивную детскую площадку
тратуар","проспект Ленина","56","""['спортивный', 'детский', 'площадка', 'тратуар']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17047","Побольше парковочных мест, некуда ставить машину.","улица Кукшумская","5 корп. 1","""['парковочный', 'место', 'некуда', 'ставить', 'машина']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17048","Сделать тротуары во дворе.","улица Кукшумская","17","""['сделать', 'тротуар', 'двор']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17049","Провода в секции давно не были заменены, служба электриков не реагируют. Счетчики на воду на кухне не ставятся.","проспект Мира","82","""['провод', 'секция', 'давно', 'заменять', 'служба', 'электрик', 'реагировать', 'счетчик', 'вода', 'кухня', 'ставиться']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17050","Ремонт асфальта во дворе.","улица Хузангая","40","""['ремонт', 'асфальт', 'двор']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17051","Согласна с выбором кандидата","улица 2-я Привосточная","104","""['согласный', 'выбор', 'кандидат']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17052","Детскую площадку во дворе дома Энтузиастов,35","улица Энтузиастов","35","""['детский', 'площадка', 'двор', 'дом', 'энтузиаст', '35']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17053","Почему в Ивановском микрорайоне не благоустраивают район.
Дороги, тротуары, сделать сквер для отдыха","улица Заводская","10","""['почему', 'ивановский', 'микрорайон', 'благоустраивать', 'район', 'дорога', 'тротуар', 'сделать', 'сквер', 'отдых']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17054","Нужен капремонт, нет горячего водоснабжения в полотенцесушителях","улица Советская","34","""['нужный', 'капремонт', 'горячий', 'водоснабжение', 'полотенцесушитель']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17055","Ремонт подъезда в доме №59 ул. Советская не было ремонта ни разу!!! Требуем!","улица Советская","59","""['ремонт', 'подъезд', 'дом', '№', '59', 'ул', 'советский', 'ремонт', '!!! ', 'требовать', '!']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17056","Прямой маршрут Финская долина - п.о Чапаева","улица Чернышевского","17 корп. 2","""['прямой', 'маршрут', 'финский', 'долина', ' - ', 'п', 'чапаев']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17057","снизить тариф ЖКХ","улица Короленко","6","""['снижать', 'тариф', 'жкх']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17058","Льготные лекарства
Повышение пенсии
Санаторно-курортное лечение","улица 50 лет Октября","14","""['льготный', 'лекарство', 'повышение', 'пенсия', 'санаторный', '-', 'курортный', 'лечение']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17059","Поднимите пенсию.  ","улица Университетская","28","""['подымать', 'пенсия']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17060","-","улица 2-я Привосточная","16А","""[]""",NULL,NULL,NULL,"2021-10-30 11:06:47","2021-10-30 11:06:47"
"17061","Ремонт придомовой территории, установка детских площадок ","улица Кадыкова","17","""['ремонт', 'придомовый', 'территория', 'установка', 'детский', 'площадка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17062","Ремонт дороги к детскому саду №7","улица Советская","65","""['ремонт', 'дорога', 'детский', 'сад', '№', '7']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17063","Нужен ремонт придомовой территории ( ремонт тротуаров, около подъезда ступени)","улица 324 Стрелковой дивизии","21","""['нужный', 'ремонт', 'придомовый', 'территория', ' ( ', 'ремонт', 'тротуар', 'около', 'подъезд', 'ступень']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17064","Детская площадка","улица Калинина","110","""['детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17065","Установить банкомат","улица Чернышевского","29","""['устанавливать', 'банкомат']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17066","1. Установить вторую скамейку
2. Установить спортивн. снаряды.","улица Советская","75","""['1', 'устанавливать', 'второй', 'скамейка', '2', 'устанавливать', 'спортивна', 'снаряд']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17067","В поликлинике п. Новые Лапсары просим принимать анализы и привозить результаты","улица Совхозная (п Лапсары)","25","""['поликлиника', 'п', 'новый', 'лапсар', 'просить', 'принимать', 'анализ', 'привозить', 'результат']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17068","Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.","улица Родниковая","2","""['просить', 'оказывать', 'содействие', 'оформление', 'земельный', 'участок', 'свой', 'жилой', 'дом', 'придомовый', 'территория']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17069","Нет бордюров","улица Терешковой","8","""['бордюр']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17070","Повышение пенсии","улица Ленинского Комсомола","40А","""['повышение', 'пенсия']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17071","-","улица Коммунистическая","26","""[]""",NULL,NULL,NULL,"2021-10-30 11:06:47","2021-10-30 11:06:47"
"17072","Благоустроить дороги.","улица Алексея Талвира","20","""['благоустраивать', 'дорога']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17073","Ремонт дорог
Освещение улиц","проезд Складской","14","""['ремонт', 'дорогой', 'освещение', 'улица']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17074","Сделать дорогу перед подъездом","бульвар Эгерский","41","""['сделать', 'дорога', 'подъезд']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17075","Провести ремонт дорог","улица Советская","36","""['проводить', 'ремонт', 'дорога']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17076","Поднять уровень чистоты в ЮЗР
Парк для отдыха, прогулок с детьми
ТЦ как МТВ","бульвар А.Миттова","29","""['подымать', 'уровень', 'чистота', 'юзра', 'парк', 'отдых', 'прогулка', 'ребенок', 'тц', 'МТВ']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17077","дет.площадку","улица Богдана Хмельницкого","49","""['дет', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17078","Заменить трубу в подъезде, протекает. Капитальный ремонт в доме. Починить дороги. Сделать детскую площадку","улица Димитрова","18","""['заменять', 'труба', 'подъезд', 'протекать', 'капитальный', 'ремонт', 'дом', 'починять', 'дорога', 'сделать', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17079","-","улица Привосточная","12Д","""[]""",NULL,NULL,NULL,"2021-10-30 11:06:47","2021-10-30 11:06:47"
"17080","Дорога плохая
Канализация никакая
Уличное освещение плохое","улица д. Чандрово, ул. Чандровская 2-я","1","""['дорога', 'плохой', 'канализация', 'никакой', 'уличный', 'освещение', 'плохой']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17081","установить детскую площадку во дворе домов Эльгера 28, 30, 32","улица Эльгера","28","""['устанавливать', 'детский', 'площадка', 'двор', 'дом', 'эльгер', '28', '30', '32']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17082","Детская площадка","улица Гагарина Ю.","41","""['детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17083","Опечатана и пустует кв. №79 по адресу ул. Кривова дом 20. Нет доступа в квартиру, оттуда невозможный запах, мыши, тараканы по всему подъезду.","улица Т.Кривова","20","""['опечатывать', 'пустовать', 'кв', '№', '79', 'адрес', 'ул', 'кривов', 'дом', '20', 'доступ', 'квартира', 'оттуда', 'невозможный', 'запах', 'мышь', 'таракан', 'весь', 'подъезд']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17084","Нет скамеек, яма около мусорки","улица Комсомольская","17","""['скамейка', 'яма', 'около', 'мусорка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17085","Прошу установить около нашего дома терминал Сбербанка","бульвар А.Миттова","25","""['просить', 'устанавливать', 'около', 'наш', 'дом', 'терминал', 'сбербанк']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17086","Благоустроить двор до конца","улица Коммунистическая","22","""['благоустраивать', 'двор', 'конец']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17087","Благоустройство детских площадок","улица Советская","65","""['благоустройство', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17088","Протекает крыша по адресу  пр-кт. Максима Горького дом 9 (9 этаж, уже 5 лет).","проспект Максима Горького","9","""['протекать', 'крыша', 'адрес', 'пр-кт', 'максим', 'горький', 'дом', '9', ' (', '9', 'этаж', '5', 'год', ')']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17089","Аптека, банк, почта ","улица Прогрессивная","11","""['аптека', 'банк', 'почта']""","Playground",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17090","Благоустройство территории
Детская площадка","улица Космонавта Николаева А.Г.","48","""['благоустройство', 'территория', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17091","освещения во дворе ","проспект Ленина","49","""['освещение', 'двор']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17092","1. ремонт крыши дома
2. ремонт фасада дома ","улица Энгельса","38","""['1', 'ремонт', 'крыша', 'дом', '2', 'ремонт', 'фасад', 'дом']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17093","Просьба о помощи в проведении ремонта и замене окон на этажах общежития, т.к живут в антисанитарных условиях","улица Парковая","37","""['просьба', 'помощь', 'проведение', 'ремонт', 'замена', 'окно', 'этаж', 'общежитие', 'т', 'жить', 'антисанитарный', 'условие']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17094","Ремонт в подъезде, парковка. ","улица Университетская","7","""['ремонт', 'подъезд', 'парковка']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17095","Новую школу в ФД","улица Чернышевского","19","""['новый', 'школа', 'ФД']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17096","Благоустройство территории около дома пр. Мира д 88Б.","проспект Мира","88Б","""['благоустройство', 'территория', 'около', 'дом', 'пр', 'мир', 'д', '88Б']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17097","Увеличить зарплаты. Увеличение пособий на детей","бульвар Юности","10","""['увеличивать', 'зарплата', 'увеличение', 'пособие', 'ребенок']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17098","дороги и дворы чинить","проспект Мира","23","""['дорога', 'двор', 'чинить']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17099","Придомовая территория, детская площадка ","улица Комсомольская","12","""['придомовый', 'территория', 'детский', 'площадка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17100","Ремонт дороги","улица Гражданская","62/1","""['ремонт', 'дорога']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17101","Хотелось бы ,чтобы улучшили детскую площадку и увеличили площадку.","улица Энгельса","12","""['хотеться', ' ,', 'улучшать', 'детский', 'площадка', 'увеличивать', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17102","Мало парковочных место, нужно больше.","улица Энгельса","12","""['мало', 'парковочный', 'место', 'нужно']""","Need for a road",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17103","Обустроить детскую площадку возле дома","улица Мичмана Павлова","58","""['обустраивать', 'детский', 'площадка', 'возле', 'дом']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
"17104","Нет пешеходной дорожки со стороны ""Нарспи""","улица Винокурова","61","""['пешеходный', 'дорожка', 'сторона', ' \""', 'нарспать']""","General improvement",NULL,NULL,"2021-10-30 11:06:47","2021-10-30 20:44:54"
